Country,"Density(P/Km2)",Agricultural Land(%),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital/Major City,Co2-Emissions,CPI,CPI Change(%)
Nicaragua,55,42.10,"130,370","12,000",20.64,505,Managua,"5,592",162.74,5.40
Niger,19,36.10,"1,267,000","10,000",46.08,227,Niamey,"2,017",109.32,-2.50
Nigeria,226,77.70,"923,768","215,000",37.91,234,Abuja,"120,369",267.51,11.40
North Korea,214,21.80,"120,538","1,469,000",13.89,850,Pyongyang,"28,284",,
North Macedonia,83,,"25,713",,,389,Skopje,,,
Norway,15,2.70,"323,802","23,000",10.4,47,Oslo,"41,023",120.27,2.20
Oman,16,4.60,"309,500","47,000",19.19,968,Muscat,"63,457",113.53,0.10
Pakistan,287,47.80,"796,095","936,000",28.25,92,Islamabad,"201,150",182.32,10.60
Palau,39,10.90,459,,14,680,Ngerulmud,224,118.17,1.30
Palestinian National Authority,847,,,,,,,,,
Panama,58,30.40,"75,420","26,000",18.98,507,Panama City,"10,715",122.07,-0.40
Papua New Guinea,20,2.60,"462,840","4,000",27.07,675,Port Moresby,"7,536",155.99,3.60
Paraguay,18,55.10,"406,752","27,000",20.57,595,Asunci��,"7,407",143.82,2.80
Peru,26,18.50,"1,285,216","158,000",17.95,51,Lima,"57,414",129.78,2.10
Philippines,368,41.70,"300,000","153,000",20.55,63,Manila,"122,287",129.61,2.50
Poland,124,46.90,"312,685","191,000",10.2,48,Warsaw,"299,037",114.11,2.20
Portugal,111,39.50,"92,212","52,000",8.5,351,Lisbon,"48,742",110.62,0.30
Qatar,248,5.80,"11,586","22,000",9.54,974,Doha,"103,259",115.38,-0.70
Romania,84,58.80,"238,391","126,000",9.6,40,Bucharest,"69,259",123.78,3.80
Russia,9,13.30,"17,098,240","1,454,000",11.5,7,Moscow,"1,732,027",180.75,4.50
Rwanda,525,73.40,"26,338","35,000",31.7,250,Kigali,"1,115",151.09,3.40
Saint Kitts and Nevis,205,23.10,261,,12.6,1,Basseterre,238,104.57,-1.00
Saint Lucia,301,17.40,616,,12,1,Castries,414,110.13,1.90
Saint Vincent and the Grenadines,284,25.60,389,,14.24,1,Kingstown,220,109.67,2.30
Samoa,70,12.40,"2,831",,24.38,685,Apia,246,117.56,1.00
San Marino,566,16.70,61,,6.8,378,City of San Marino,,110.63,1.00
S�����������,228,50.70,964,"1,000",31.54,239,S����,121,185.09,7.90
Saudi Arabia,16,80.80,"2,149,690","252,000",17.8,966,Riyadh,"563,449",118.4,-1.20
Senegal,87,46.10,"196,722","19,000",34.52,221,Dakar,"10,902",109.25,1.80
Serbia,100,39.30,"77,474","32,000",9.2,381,Belgrade,"45,221",144,1.80
Seychelles,214,3.40,455,0,17.1,248,"Victoria, Seychelles",605,129.96,1.80
Sierra Leone,111,54.70,"71,740","9,000",33.41,232,Freetown,"1,093",234.16,14.80
Singapore,"8,358",0.90,716,"81,000",8.8,65,,"37,535",114.41,0.60
Slovakia,114,39.20,"49,035","16,000",10.6,421,Bratislava,"32,424",115.34,2.70
